run,commanded,readback,luma,bytes,settle_frames,settle_s
1,9,9,3.1801,210120,6,0.2234
1,13,13,5.7286,241848,6,0.2277
1,18,18,9.3879,281808,6,0.2293
1,25,25,14.7122,314096,6,0.2282
1,36,36,22.1250,331944,6,0.2285
1,51,51,30.1338,337768,6,0.2264
1,72,72,38.6767,338144,6,0.2268
1,102,102,47.8897,334824,6,0.2275
1,144,144,54.2192,334072,6,0.2274
2,9,9,3.1735,209840,6,0.2267
2,13,13,5.6942,241240,6,0.2286
2,18,18,9.3132,280824,6,0.2281
2,25,25,14.6384,312288,6,0.2286
2,36,36,22.0750,331344,6,0.2284
2,51,51,30.2107,337816,6,0.2275
2,72,72,38.8294,338600,6,0.2249
2,102,102,48.0452,336952,6,0.2272
2,144,144,54.4065,336352,6,0.2271
